url_start,qty_all,qty_unique_user,qty_in,qty_out
/secure/accountclose/confirmation.aspx,123,92,123,128
/secure/accountclose/create.aspx,172,116,172,173
/secure/accountoperations.aspx,57,26,57,57
/secure/accounts.aspx,13744,6218,13744,15191
/secure/activatesecurecodescard/complete.aspx,8,8,8,9
/secure/activatesecurecodescard/confirmation.aspx,10,10,10,10
/secure/activatesecurecodescard/create.aspx,148,128,148,154
/secure/activation.aspx,372,350,372,30
/secure/anotheremitet/delete/complete.aspx,85,68,85,87
/secure/anotheremitet/delete/confirmation.aspx,97,78,97,99
/secure/anotheremitet/delete/create.aspx,139,106,139,140
/secure/anotheremitet/new/complete.aspx,97,79,97,101
/secure/anotheremitet/new/confirmation.aspx,97,83,97,98
/secure/anotheremitet/new/create.aspx,416,293,416,432
/secure/approvedcreditforcard/list.aspx,430,366,430,470
/secure/auditevents.aspx,21,14,21,26
/secure/autopayments/all/autopaymentdirectory.aspx,102,58,102,102
/secure/autopayments/all/debt/create.aspx,18,18,18,18
/secure/autopayments/all/fine/create.aspx,4,3,4,5
/secure/autopayments/all/info.aspx,25,12,25,26
/secure/autopayments/all/list.aspx,354,117,354,366
/secure/autopayments/all/mobilephone/complete.aspx,48,23,48,48
/secure/autopayments/all/mobilephone/confirmation.aspx,48,23,48,48
/secure/autopayments/all/mobilephone/create.aspx,75,34,75,75
/secure/autopayments/all/mobilephone/info.aspx,46,14,46,46
/secure/autopayments/all/mosenergomarket/complete.aspx,15,9,15,15
/secure/autopayments/all/mosenergomarket/confirmation.aspx,20,13,20,21
/secure/autopayments/all/mosenergomarket/create.aspx,49,26,49,49
/secure/autopayments/all/mosenergomarket/info.aspx,31,14,31,33
/secure/autopayments/all/mosregioneirc/complete.aspx,1,1,1,1
/secure/autopayments/all/mosregioneirc/confirmation.aspx,1,1,1,1
/secure/autopayments/all/mosregioneirc/confirmationaccount.aspx,3,2,3,3
/secure/autopayments/all/mosregioneirc/create.aspx,2,2,2,2
/secure/autopayments/all/new/complete.aspx,16,13,16,17
/secure/autopayments/all/new/confirmation.aspx,35,17,35,35
/secure/autopayments/all/new/create.aspx,72,40,72,73
/secure/autopayments/all/select.aspx,3303,1711,3303,3369
/secure/autopayments/all/tax/complete.aspx,2,2,2,2
/secure/autopayments/all/tax/confirmation.aspx,3,3,3,3
/secure/autopayments/all/tax/create.aspx,25,19,25,25
/secure/autopayments/all/tax/info.aspx,3,3,3,3
/secure/autopayments/edit.aspx,88,53,88,88
/secure/autopayments/list.aspx,1170,601,1170,1207
/secure/autopayments/view.aspx,93,56,93,95
/secure/autopaymentsmobile/all/autopaymentdirectory.aspx,112,75,112,128
/secure/autopaymentsmobile/all/debt/confirmation.aspx,1,1,1,1
/secure/autopaymentsmobile/all/debt/create.aspx,34,24,34,33
/secure/autopaymentsmobile/all/fine/confirmation.aspx,6,3,6,9
/secure/autopaymentsmobile/all/fine/create.aspx,54,42,54,50
/secure/autopaymentsmobile/all/fine/info.aspx,15,6,15,13
/secure/autopaymentsmobile/all/info.aspx,351,136,351,320
/secure/autopaymentsmobile/all/list.aspx,1065,288,1065,1097
/secure/autopaymentsmobile/all/mobilephone/confirmation.aspx,45,23,45,65
/secure/autopaymentsmobile/all/mobilephone/create.aspx,97,52,97,102
/secure/autopaymentsmobile/all/mobilephone/info.aspx,141,33,141,130
/secure/autopaymentsmobile/all/mosenergomarket/confirmation.aspx,83,49,83,102
/secure/autopaymentsmobile/all/mosenergomarket/create.aspx,214,134,214,215
/secure/autopaymentsmobile/all/mosenergomarket/info.aspx,232,96,232,215
/secure/autopaymentsmobile/all/mosregioneirc/confirmation.aspx,2,1,2,2
/secure/autopaymentsmobile/all/mosregioneirc/create.aspx,3,1,3,3
/secure/autopaymentsmobile/all/mosregioneirc/info.aspx,2,1,2,1
/secure/autopaymentsmobile/all/new/confirmation.aspx,181,90,181,208
