url_start,url_end,diff_mean,diff_max,diff_min,diff_sum,qty_rel_all,reload_mean,process_order_mean
/secure/accountclose/confirmation.aspx,/secure/accountclose/create.aspx,34.92307692307692,80,5,454,13,0.0,39.92307692307692
/secure/accountclose/confirmation.aspx,/secure/accounts.aspx,71.125,821,8,1707,24,0.0,24.416666666666668
/secure/accountclose/confirmation.aspx,/secure/bonusprogram/mkbbonus/main.aspx,25.0,25,25,25,1,0.0,27.0
/secure/accountclose/confirmation.aspx,/secure/dcards.aspx,90.57142857142857,168,21,634,7,0.0,30.285714285714285
/secure/accountclose/confirmation.aspx,/secure/deps.aspx,39.55555555555556,74,15,356,9,0.0,17.666666666666668
/secure/accountclose/confirmation.aspx,/secure/main.aspx,390.0,23087,9,26520,68,0.0,29.176470588235293
/secure/accountclose/confirmation.aspx,/secure/paymentform.aspx,59.0,59,59,59,1,0.0,29.0
/secure/accountclose/create.aspx,/secure/accountclose/confirmation.aspx,12.0625,75,2,1544,128,0.0,27.703125
/secure/accountclose/create.aspx,/secure/accounts.aspx,20.17391304347826,58,3,464,23,0.0,47.65217391304348
/secure/accountclose/create.aspx,/secure/communication/messageslist.aspx,8.0,8,8,8,1,0.0,8.0
/secure/accountclose/create.aspx,/secure/dcards.aspx,30.5,33,28,61,2,0.0,42.0
/secure/accountclose/create.aspx,/secure/main.aspx,11204.8,85749,2,168072,15,0.0,19.8
/secure/accountclose/create.aspx,/secure/openaccount/create.aspx,22.0,22,22,22,1,0.0,13.0
/secure/accountclose/create.aspx,/secure/operations.aspx,17.0,17,17,17,1,0.0,8.0
/secure/accountclose/create.aspx,/secure/paymentform.aspx,9.0,9,9,9,1,0.0,18.0
/secure/accountoperations.aspx,/secure/accountoperations.aspx,63.92857142857143,348,1,895,14,1.0,21.571428571428573
/secure/accountoperations.aspx,/secure/accounts.aspx,16.0,16,16,16,1,0.0,3.0
/secure/accountoperations.aspx,/secure/approvedcreditforcard/list.aspx,25.0,25,25,25,1,0.0,3.0
/secure/accountoperations.aspx,/secure/autopayments/all/select.aspx,20.666666666666668,28,11,62,3,0.0,34.333333333333336
/secure/accountoperations.aspx,/secure/cardoperations.aspx,34.45454545454545,251,6,379,11,0.0,15.0
/secure/accountoperations.aspx,/secure/cardtocardtransfer/create.aspx,25.0,25,25,25,1,0.0,13.0
/secure/accountoperations.aspx,/secure/communication/messageslist.aspx,227.0,305,149,454,2,0.0,17.0
/secure/accountoperations.aspx,/secure/dcards.aspx,30.8,97,12,154,5,0.0,35.2
/secure/accountoperations.aspx,/secure/fps/create.aspx,16.333333333333332,20,13,49,3,0.0,3.3333333333333335
/secure/accountoperations.aspx,/secure/main.aspx,1644.0,10079,7,13152,8,0.0,37.875
/secure/accountoperations.aspx,/secure/multicurrencycard/addaccount/confirmation.aspx,12.0,12,12,12,1,0.0,28.0
/secure/accountoperations.aspx,/secure/multicurrencycard/defaultaccount/complete.aspx,21.0,21,21,21,1,0.0,10.0
